Customer ,Type,Branding,Status,"Number of 
Equipments",Number of doors
101263,Cooler,Soft Drinks,placed,1,1
106370,Cooler,Energy,placed,1,"0,3"
103782,Cooler,Soft Drinks,placed,1,1
108671,Cooler,Soft Drinks,placed,1,1
109417,Cooler,Soft Drinks,placed,1,1
104080,Cooler,Water,placed,1,1
104080,Cooler,Soft Drinks,placed,2,2
103687,Cooler,Juice,placed,1,1
100268,Cooler,Soft Drinks,placed,1,1
104094,Cooler,Soft Drinks,placed,1,1
100185,Cooler,Soft Drinks,placed,1,1
103983,Cooler,Soft Drinks,placed,1,1
103916,Cooler,Water,placed,1,"1,5"
103916,Cooler,Soft Drinks,placed,1,2
105462,Cooler,Soft Drinks,placed,1,1
106565,Cooler,Soft Drinks,placed,1,"0,7"
107458,Cooler,Soft Drinks,placed,1,1
104128,Cooler,Soft Drinks,placed,1,1
108654,Cooler,Water,placed,1,1
108654,Cooler,Soft Drinks,placed,1,1
105559,Cooler,Soft Drinks,placed,2,2
111670,Cooler,Water,placed,1,1
111670,Cooler,Soft Drinks,placed,1,1
104919,Cooler,Water,placed,1,1
108846,Cooler,Water,placed,1,1
108846,Cooler,Soft Drinks,placed,1,1
106317,Cooler,Soft Drinks,placed,1,2
109078,Cooler,Soft Drinks,placed,1,1
110153,Cooler,Juice,placed,1,"0,7"
106314,Cooler,Water,placed,1,1
106314,Cooler,Soft Drinks,placed,3,"4,5"
108140,Cooler,Water,placed,1,1
108140,Cooler,Soft Drinks,placed,1,1
108141,Cooler,Water,placed,1,1
108141,Cooler,Soft Drinks,placed,1,1
108141,Cooler,Juice,placed,1,1
108141,Dispenser,Water,placed,1,0
100519,Cooler,Water,placed,1,1
100519,Cooler,Soft Drinks,placed,1,2
108614,Cooler,Soft Drinks,placed,1,"0,7"
107466,Cooler,Soft Drinks,placed,1,1
105225,Cooler,Soft Drinks,placed,1,1
106443,Cooler,Soft Drinks,placed,1,1
107932,Cooler,Soft Drinks,placed,1,2
107932,Cooler,Juice,placed,1,1
101371,Cooler,Soft Drinks,placed,3,"3,3"
111206,Cooler,Soft Drinks,placed,1,1
111206,Cooler,Energy,placed,2,"1,7"
111206,Dispenser,Water,placed,1,0
108490,Cooler,Soft Drinks,placed,1,1
108852,Cooler,Soft Drinks,placed,3,"4,5"
104907,Cooler,Soft Drinks,placed,4,4
107462,Cooler,Soft Drinks,placed,3,4
107462,Fountain,Soft Drinks,placed,1,0
