Calendar day,Customer,BGN,CS
2.1.2025,109692,"5,56",2
2.1.2025,103373,"4,34","1,563"
2.1.2025,105025,"5,56",2
2.1.2025,107757,"30,57",11
2.1.2025,105906,"2,78",1
2.1.2025,108142,"42,61","15,333"
2.1.2025,108126,"0,69","0,25"
2.1.2025,110514,"5,56",2
2.1.2025,111264,"8,34",3
2.1.2025,107844,"0,69","0,25"
2.1.2025,105402,"63,92",23
2.1.2025,105637,"30,57",11
2.1.2025,105265,"2,78",1
2.1.2025,104733,"2,78",1
2.1.2025,109754,"5,56",2
2.1.2025,109595,"1,16","0,417"
2.1.2025,111902,"19,45",7
2.1.2025,111900,"7,41","2,667"
3.1.2025,110750,"71,34","25,67"
3.1.2025,107346,"5,56",2
3.1.2025,106484,"11,12",4
3.1.2025,106606,"11,12",4
3.1.2025,106561,"19,45",7
3.1.2025,107828,"8,34",3
3.1.2025,106575,"8,34",3
3.1.2025,105330,"11,12",4
3.1.2025,104423,"22,23",8
3.1.2025,102538,"2,78",1
3.1.2025,103828,"5,56",2
3.1.2025,103445,"13,9",5
3.1.2025,101699,"22,23",8
3.1.2025,103212,"38,91",14
3.1.2025,103982,"15,29","5,5"
3.1.2025,106250,"45,4","16,334"
3.1.2025,110595,"44,47",16
3.1.2025,104858,"5,56",2
3.1.2025,106339,"25,48","9,167"
3.1.2025,100944,"50,03",18
3.1.2025,112013,"30,57",11
3.1.2025,100942,"61,14",22
3.1.2025,100948,"66,7",24
3.1.2025,108078,"8,34",3
3.1.2025,104018,"16,68",6
3.1.2025,111964,"68,09","24,5"
3.1.2025,100762,"8,81","3,17"
3.1.2025,104256,"27,79",10
3.1.2025,103519,"8,34",3
3.1.2025,104025,"8,34",3
3.1.2025,104058,"27,79",10
3.1.2025,104422,"8,34",3
3.1.2025,100758,"16,68",6
3.1.2025,103536,"12,51","4,5"
3.1.2025,103100,"11,12",4
3.1.2025,103101,"5,56",2
3.1.2025,104122,"2,78",1
3.1.2025,104098,"13,9",5
3.1.2025,102675,"16,68",6
3.1.2025,100801,"61,14",22
3.1.2025,112007,"63,92",23
3.1.2025,104418,"19,45",7
3.1.2025,104627,"30,57",11
3.1.2025,102627,"8,34",3
3.1.2025,102676,"2,78",1
3.1.2025,102673,"5,56",2
3.1.2025,101064,"2,78",1
3.1.2025,101074,"16,68",6
3.1.2025,104628,"2,78",1
3.1.2025,104629,"8,34",3
3.1.2025,104435,"33,35",12
3.1.2025,106661,"-2,78",-1
3.1.2025,104633,"5,56",2
3.1.2025,106738,"86,16",31
3.1.2025,104416,"5,56",2
3.1.2025,104641,"22,23","7,998"
3.1.2025,102714,"13,9",5
3.1.2025,102716,"2,78",1
3.1.2025,104796,"2,78",1
3.1.2025,104726,"2,78",1
3.1.2025,104727,"8,34",3
3.1.2025,102681,"1,39","0,5"
3.1.2025,102719,"4,17","1,5"
3.1.2025,102720,"22,23",8
3.1.2025,111950,"2,78",1
3.1.2025,112019,"11,12",4
3.1.2025,104774,"16,68",6
3.1.2025,102721,"8,34",3
3.1.2025,106269,"73,42","26,416"
3.1.2025,107251,"169,54",61
3.1.2025,104795,"16,68",6
3.1.2025,104777,"18,99","6,833"
3.1.2025,106739,"106,31","38,25"
3.1.2025,102701,"8,34",3
3.1.2025,102722,"13,9",5
3.1.2025,104789,"13,9",5
3.1.2025,102690,"2,78",1
3.1.2025,104783,"25,01",9
3.1.2025,101054,"50,03",18
3.1.2025,107220,"30,57",11
3.1.2025,106477,"22,23",8
3.1.2025,101244,"8,34",3
3.1.2025,111975,"22,23",8
3.1.2025,106322,"55,59",20
3.1.2025,103412,"15,29","5,5"
3.1.2025,103784,"8,34",3
3.1.2025,104508,"38,91",14
3.1.2025,104509,"2,78",1
3.1.2025,105132,"2,78",1
3.1.2025,106572,"8,34",3
3.1.2025,112004,"13,9",5
3.1.2025,108563,"8,34",3
3.1.2025,102296,"20,84","7,5"
3.1.2025,101263,"13,9",5
3.1.2025,104094,"11,12",4
3.1.2025,103983,"8,34",3
3.1.2025,106317,"27,79",10
3.1.2025,108140,"8,34",3
3.1.2025,102234,"491,93",177
3.1.2025,103485,"22,23",8
3.1.2025,103468,"55,59",20
3.1.2025,103943,"2,78",1
3.1.2025,104259,"27,79",10
3.1.2025,103984,"8,34",3
3.1.2025,111888,"22,23",8
3.1.2025,104507,"44,47",16
3.1.2025,105427,"16,68",6
3.1.2025,103467,"58,36",21
3.1.2025,103466,"11,12",4
3.1.2025,103465,"27,79",10
3.1.2025,110089,"13,9",5
3.1.2025,110176,"155,64",56
3.1.2025,108328,"22,23",8
3.1.2025,103574,"2,78",1
