Customer,Customer Name,Region,City,Trade Channel,Segment,Seasonal,Тype
110377,ЗЛ.ПЯСЪЦИ/ДО КОРАБЧЕТО/ ЕООД,Бургас,БУРГАС,Fast-food,Bronze,Not Seasonal,Out of Home
105967,БЪРЗО ХРАНЕНЕ МЛАДОСТ ЕООД,Варна,ВАРНА,Fast-food,Bronze,Not Seasonal,Out of Home
112029,БЪРЗА ЗАКУСКА ДЕНИС ЕООД,Варна,ВАРНА,Cafe,Bronze,Not Seasonal,Out of Home
109865,БЪРГЪР КИНГ ЕООД,Варна,ВАРНА,Cafe,Bronze,Not Seasonal,Out of Home
105199,СПИРКА ЧЕВЕРЧЕ ЕООД,Бургас,БУРГАС,Cafe,Bronze,Not Seasonal,Out of Home
110282,ПЯСЪЦИТЕ ЕООД,Бургас,БУРГАС,Fast-food,Bronze,Not Seasonal,Out of Home
109859,СКАРА ГИД ЕООД,Бургас,БУРГАС,Cafe,Bronze,Not Seasonal,Out of Home
107868,БАРБЕКЮ ДЖЕРОНИМО ЕООД,Бургас,БУРГАС,Restaurant,Bronze,Seasonal,Out of Home
105191,БЪРЗО ХРАНЕНЕ МЛАДОСТ ЕООД,Бургас,БУРГАС,Cafe,Iron,Not Seasonal,Out of Home
106600,МИСТЪР ОГРОМОБУРГЕР ЕООД,Бургас,БУРГАС,Cafe,Bronze,Not Seasonal,Out of Home
106532,Бързо хранене ЕООД,Бургас,НЕСЕБЪР,Cafe,Bronze,Not Seasonal,Out of Home
106554,ДЮНЕР ЕООД,Бургас,БУРГАС,Cafe,Bronze,Not Seasonal,Out of Home
106598,Пристанище ЕООД,Бургас,БУРГАС,Cafe,Bronze,Not Seasonal,Out of Home
110644,Стакоз ЕООД,Варна,ДОЛНИ ЧИФЛИК,Restaurant,Bronze,Seasonal,Out of Home
110642,ГО ГРИЛ ЕООД,Варна,ДОЛНИ ЧИФЛИК,Restaurant,Bronze,Seasonal,Out of Home
105375,Бързо хранене ЕООД,Бургас,ПОМОРИЕ,Cafe,Bronze,Not Seasonal,Out of Home
111718,Бургер Лаб ЕООД,Варна,ВАРНА,Fast-food,Bronze,Not Seasonal,Out of Home
110525,ХАРНА ПЕКАРНА ЕООД,Варна,ВАРНА,Fast-food,Bronze,Not Seasonal,Out of Home
109542,При Големия Петър ЕООД,Бургас,РУЕН,Fast-food,Bronze,Not Seasonal,Out of Home
105376,Билдинг ЕООД,Бургас,АЙТОС,Cafe,Bronze,Not Seasonal,Out of Home
104844,Божилови ЕООД,Варна,ВАРНА,Cafe,Bronze,Not Seasonal,Out of Home
108360,Зорница ЕООД,Бургас,ЧЕРНОМОРЕЦ,Restaurant,Bronze,Not Seasonal,Out of Home
106397,АЗИАТСКО ХРАНЕНЕ ЕООД,Варна,ВАРНА,Cafe,Bronze,Not Seasonal,Out of Home
106057,БЪРЗО ХРАНЕНЕ CENTRAL PARK ЕООД,Варна,ВАРНА,Fast-food,Bronze,Not Seasonal,Out of Home
110732,БЪРЗО ХРАНЕНЕ МЛАДОСТ ЕООД,Варна,ВАРНА,Restaurant,Bronze,Not Seasonal,Out of Home
110734,БЪРЗО ХРАНЕНЕ МЛАДОСТ ЕООД,Варна,ВАРНА,Restaurant,Bronze,Not Seasonal,Out of Home
111028,ФРЕШ ЕООД,Варна,ВАРНА,Hotels,Silver,Not Seasonal,Out of Home
111713,БЪРЗО ХРАНЕНЕ МЛАДОСТ ЕООД,Варна,ВАРНА,Fast-food,Bronze,Not Seasonal,Out of Home
111482,Ресторант Ел Мар ЕООД,Бургас,БУРГАС,Restaurant,Silver,Not Seasonal,Out of Home
111344,МАЧО ЕООД,Бургас,БУРГАС,Fast-food,Bronze,Not Seasonal,Out of Home
110380,БУРГЕРС ХАУС ЕООД,Бургас,БУРГАС,Fast-food,Bronze,Not Seasonal,Out of Home
111664,ПАВИЛЬОН ЕООД,Бургас,БУРГАС,Fast-food,Bronze,Not Seasonal,Out of Home
108063,ДИНЕРО ЕООД,Бургас,БУРГАС,Restaurant,Bronze,Not Seasonal,Out of Home
105387,МАГ ДОНАЛДС ЕООД,Бургас,КАРНОБАТ,Cafe,Bronze,Not Seasonal,Out of Home
107870,БЪЛГАРСКА СКАРА ЕООД,Бургас,АТИЯ,Restaurant,Bronze,Not Seasonal,Out of Home
106347,БЪРЗО ХРАНЕНЕ МЛАДОСТ ЕООД,Варна,ВАРНА,Local Shop,Bronze,Not Seasonal,Out of Home
110137,Златна Дюна ЕООД,Варна,ВАРНА,Fast-food,Bronze,Not Seasonal,Out of Home
